,date,real_output,RFR
22996,1566511200000,0.0,1.8905362660926552e-06
22997,1566514800000,0.0,1.8905362660926552e-06
22998,1566518400000,0.0,1.8905362660926552e-06
22999,1566522000000,0.0,1.8905362660926552e-06
23000,1566525600000,0.0,1.8905362660926552e-06
23001,1566529200000,0.0,1.8905362660926552e-06
23002,1566532800000,0.19,0.19190000000000004
23003,1566536400000,1.68,1.5075999999999998
23005,1566543600000,6.64,4.591
23006,1566547200000,4.13,6.228699999999999
23007,1566550800000,2.03,5.521799999999998
23008,1566554400000,2.76,3.876299999999999
23009,1566558000000,2.05,3.6307999999999994
23011,1566565200000,2.98,4.3694
23012,1566568800000,1.81,4.725099999999999
23013,1566572400000,2.7,4.5059000000000005
23014,1566576000000,4.43,4.087500000000002
23016,1566583200000,0.41,0.8985000000000002
23017,1566586800000,0.0,0.037899999999999996
23018,1566590400000,0.0,1.8905362660926552e-06
23019,1566594000000,0.0,1.8905362660926552e-06
23020,1566597600000,0.0,1.8905362660926552e-06
23021,1566601200000,0.0,1.8905362660926552e-06
23023,1566608400000,0.0,1.8905362660926552e-06
23024,1566612000000,0.0,1.8905362660926552e-06
23025,1566615600000,0.0,1.8905362660926552e-06
23026,1566619200000,0.03,0.23369999999999996
23027,1566622800000,0.51,0.7909999999999999
23029,1566630000000,4.08,3.9759999999999995
23030,1566633600000,11.55,9.103300000000004
23031,1566637200000,13.83,13.670699999999997
23032,1566640800000,14.64,14.613399999999999
23033,1566644400000,16.02,15.617700000000006
23035,1566651600000,12.88,13.736599999999992
23036,1566655200000,9.39,11.691099999999997
23037,1566658800000,10.53,8.453500000000002
23038,1566662400000,7.59,7.756699999999999
23039,1566666000000,4.72,5.225399999999999
23041,1566673200000,0.02,0.2158999999999999
23042,1566676800000,0.0,1.8905362660926552e-06
23043,1566680400000,0.0,1.8905362660926552e-06
23044,1566684000000,0.0,1.8905362660926552e-06
23045,1566687600000,0.0,1.8905362660926552e-06
23047,1566694800000,0.0,1.8905362660926552e-06
23048,1566698400000,0.0,1.8905362660926552e-06
23049,1566702000000,0.0,1.8905362660926552e-06
23050,1566705600000,0.05,0.08499999999999998
23051,1566709200000,1.02,2.2979000000000007
23053,1566716400000,4.21,6.208600000000001
23054,1566720000000,6.61,8.653200000000004
23055,1566723600000,12.56,10.170000000000002
23056,1566727200000,15.82,13.567399999999997
23057,1566730800000,13.78,15.400800000000011
23059,1566738000000,13.74,11.690000000000008
23060,1566741600000,11.5,11.097999999999999
23061,1566745200000,9.32,8.407799999999996
23062,1566748800000,6.25,7.422400000000001
23063,1566752400000,2.24,5.498699999999998
23065,1566759600000,0.01,0.16329999999999995
23066,1566763200000,0.0,1.8905362660926552e-06
23067,1566766800000,0.0,1.8905362660926552e-06
23068,1566770400000,0.0,1.8905362660926552e-06
23069,1566774000000,0.0,1.8905362660926552e-06
23071,1566781200000,0.0,1.8905362660926552e-06
23072,1566784800000,0.0,1.8905362660926552e-06
23073,1566788400000,0.0,1.8905362660926552e-06
23074,1566792000000,0.06,0.2498999999999999
23075,1566795600000,1.78,2.0499000000000005
23077,1566802800000,7.63,5.5126
23078,1566806400000,10.9,10.7799
23079,1566810000000,13.31,13.192399999999997
23080,1566813600000,14.88,14.262599999999997
23081,1566817200000,15.8,15.6527
23083,1566824400000,13.93,14.195999999999993
23084,1566828000000,11.84,12.223200000000002
23085,1566831600000,9.64,8.959799999999994
23086,1566835200000,6.74,7.262199999999999
23087,1566838800000,4.34,6.023699999999998
23089,1566846000000,0.01,0.2100999999999999
23090,1566849600000,0.0,1.8905362660926552e-06
23091,1566853200000,0.0,1.8905362660926552e-06
23092,1566856800000,0.0,1.8905362660926552e-06
23093,1566860400000,0.0,1.8905362660926552e-06
23095,1566867600000,0.0,1.8905362660926552e-06
23096,1566871200000,0.0,1.8905362660926552e-06
23097,1566874800000,0.0,1.8905362660926552e-06
23098,1566878400000,0.07,0.22679999999999992
23099,1566882000000,2.16,2.1327000000000007
23101,1566889200000,7.79,5.8725999999999985
23102,1566892800000,10.78,10.096000000000002
23103,1566896400000,13.07,13.072000000000001
23104,1566900000000,14.59,13.977499999999997
23105,1566903600000,15.64,14.945600000000004
23107,1566910800000,13.52,14.13309999999999
