date,air_humidity_id,sun_hours_id,output
1483228800000,92,0.0,
1483232400000,95,0.0,
1483236000000,98,0.0,
1483239600000,98,0.0,
1483243200000,98,0.0,
1483246800000,96,0.0,
1483250400000,97,0.0,
1483254000000,98,0.0,
1483257600000,98,0.0,
1483261200000,97,0.7,
1483264800000,93,2.6,
1483268400000,90,3.3,
1483272000000,84,2.4,
1483275600000,82,0.8,
1483279200000,79,0.0,
1483282800000,82,0.0,
1483286400000,82,0.0,
1483290000000,85,0.0,
1483293600000,91,0.0,
1483297200000,92,0.0,
1483300800000,94,0.0,
1483304400000,97,0.0,
1483308000000,97,0.0,
1483311600000,94,0.0,
1483315200000,94,0.0,
1483318800000,93,0.0,
1483322400000,94,0.0,
1483326000000,91,0.0,
1483329600000,91,0.0,
1483333200000,90,0.0,
1483336800000,88,0.0,
1483340400000,86,0.0,
1483344000000,83,0.0,
1483347600000,82,1.2,
1483351200000,82,2.7,
1483354800000,77,3.1,
1483358400000,79,1.8,
1483362000000,78,0.7,
1483365600000,75,0.0,
1483369200000,78,0.0,
1483372800000,79,0.0,
1483376400000,87,0.0,
1483380000000,88,0.0,
1483383600000,85,0.0,
1483387200000,89,0.0,
1483390800000,91,0.0,
1483394400000,88,0.0,
1483398000000,87,0.0,
1483401600000,84,0.0,
1483405200000,80,0.0,
1483408800000,80,0.0,
1483412400000,82,0.0,
1483416000000,83,0.0,
1483419600000,87,0.0,
1483423200000,91,0.0,
1483426800000,93,0.0,
1483430400000,93,0.0,
1483434000000,91,0.7,
1483437600000,88,1.1,
1483441200000,82,3.8,
1483444800000,78,2.8,
1483448400000,77,0.9,
1483452000000,79,0.0,
1483455600000,78,0.0,
1483459200000,78,0.0,
1483462800000,71,0.0,
1483466400000,94,0.0,
1483470000000,98,0.0,
1483473600000,99,0.0,
1483477200000,99,0.0,
1483480800000,99,0.0,
1483484400000,99,0.0,
1483488000000,99,0.1,
1483491600000,95,0.0,
1483495200000,93,0.0,
1483498800000,88,0.0,
1483502400000,78,0.0,
1483506000000,76,0.0,
1483509600000,71,0.0,
1483513200000,76,0.0,
1483516800000,83,0.0,
1483520400000,77,0.7,
1483524000000,79,1.4,
1483527600000,75,1.8,
1483531200000,76,1.6,
1483534800000,75,0.4,
1483538400000,77,0.0,
1483542000000,79,0.0,
1483545600000,75,0.0,
1483549200000,74,0.0,
1483552800000,75,0.0,
1483556400000,73,0.0,
1483560000000,71,0.0,
1483563600000,74,0.0,
1483567200000,70,0.0,
1483570800000,71,0.0,
1483574400000,68,0.0,
1483578000000,68,0.0,
1483581600000,70,0.0,
1483585200000,69,0.0,
1483588800000,88,0.0,
1483592400000,81,0.0,
1483596000000,79,0.0,
1483599600000,68,0.0,
1483603200000,83,0.0,
1483606800000,69,1.4,
1483610400000,66,1.9,
1483614000000,65,2.3,
1483617600000,70,2.8,
1483621200000,71,1.1,
1483624800000,64,0.0,
1483628400000,64,0.0,
1483632000000,85,0.0,
1483635600000,87,0.0,
1483639200000,90,0.0,
1483642800000,90,0.0,
1483646400000,90,0.0,
1483650000000,90,0.0,
1483653600000,94,0.0,
1483657200000,93,0.0,
1483660800000,93,0.0,
1483664400000,92,0.0,
1483668000000,90,0.0,
1483671600000,86,0.0,
1483675200000,83,0.0,
1483678800000,88,0.0,
1483682400000,87,0.0,
1483686000000,86,0.0,
1483689600000,83,0.0,
1483693200000,88,2.2,
1483696800000,83,4.6,
1483700400000,77,4.9,
1483704000000,71,3.0,
1483707600000,67,0.8,
1483711200000,67,0.0,
1483714800000,63,0.0,
1483718400000,73,0.0,
1483722000000,79,0.0,
1483725600000,81,0.0,
1483729200000,78,0.0,
1483732800000,77,0.0,
1483736400000,76,0.0,
1483740000000,74,0.0,
1483743600000,73,0.0,
1483747200000,74,0.0,
1483750800000,65,0.0,
1483754400000,84,0.0,
1483758000000,94,0.0,
1483761600000,96,0.1,
1483765200000,97,0.1,
1483768800000,97,0.1,
1483772400000,97,0.0,
1483776000000,96,0.0,
1483779600000,96,0.5,
1483783200000,96,1.5,
1483786800000,96,3.4,
1483790400000,96,3.2,
1483794000000,97,1.3,
1483797600000,97,0.0,
1483801200000,98,0.0,
1483804800000,98,0.0,
1483808400000,98,0.0,
1483812000000,98,0.0,
1483815600000,98,0.0,
1483819200000,98,0.0,
1483822800000,98,0.0,
1483826400000,97,0.0,
1483830000000,97,0.0,
1483833600000,97,0.0,
1483837200000,97,0.0,
1483840800000,96,0.0,
1483844400000,96,0.0,
1483848000000,96,0.0,
1483851600000,96,0.0,
1483855200000,95,0.0,
1483858800000,96,0.0,
1483862400000,95,0.0,
1483866000000,95,1.2,
1483869600000,95,3.9,
1483873200000,95,4.6,
1483876800000,95,2.4,
1483880400000,94,1.4,
1483884000000,94,0.0,
1483887600000,93,0.0,
1483891200000,91,0.0,
1483894800000,92,0.0,
1483898400000,95,0.0,
1483902000000,96,0.0,
1483905600000,97,0.0,
1483909200000,98,0.0,
1483912800000,98,0.0,
1483916400000,98,0.0,
1483920000000,98,0.0,
1483923600000,98,0.0,
1483927200000,99,0.0,
1483930800000,99,0.0,
1483934400000,100,0.0,
1483938000000,100,0.0,
1483941600000,100,0.0,
1483945200000,100,0.0,
1483948800000,100,0.0,
1483952400000,100,0.7,
1483956000000,100,1.2,
1483959600000,100,1.5,
1483963200000,100,1.1,
1483966800000,100,0.5,
1483970400000,100,0.0,
1483974000000,99,0.0,
1483977600000,99,0.0,
1483981200000,99,0.0,
1483984800000,99,0.0,
1483988400000,99,0.0,
1483992000000,99,0.0,
1483995600000,98,0.0,
1483999200000,97,0.0,
1484002800000,96,0.0,
1484006400000,95,0.0,
1484010000000,93,0.0,
1484013600000,90,0.0,
1484017200000,89,0.0,
1484020800000,91,0.0,
1484024400000,91,0.0,
1484028000000,89,0.0,
1484031600000,90,0.0,
1484035200000,86,0.0,
1484038800000,86,1.5,
1484042400000,83,2.0,
1484046000000,83,2.5,
1484049600000,84,1.8,
1484053200000,84,1.1,
1484056800000,84,0.0,
1484060400000,83,0.0,
1484064000000,82,0.0,
1484067600000,80,0.0,
1484071200000,81,0.0,
1484074800000,80,0.0,
1484078400000,77,0.0,
1484082000000,77,0.0,
1484085600000,79,0.0,
1484089200000,80,0.0,
1484092800000,83,0.0,
1484096400000,85,0.0,
1484100000000,84,0.0,
1484103600000,84,0.0,
1484107200000,87,0.0,
1484110800000,84,0.0,
1484114400000,84,0.0,
1484118000000,83,0.0,
1484121600000,83,0.0,
1484125200000,80,0.8,
1484128800000,81,1.6,
1484132400000,84,1.9,
1484136000000,91,1.4,
1484139600000,89,0.7,
1484143200000,86,0.0,
1484146800000,83,0.0,
1484150400000,82,0.0,
1484154000000,83,0.0,
1484157600000,86,0.0,
1484161200000,88,0.0,
1484164800000,85,0.0,
1484168400000,87,0.0,
1484172000000,95,0.0,
1484175600000,96,0.0,
1484179200000,97,0.0,
1484182800000,97,0.0,
1484186400000,96,0.0,
1484190000000,93,0.0,
1484193600000,92,0.0,
1484197200000,88,0.0,
1484200800000,86,0.0,
