date,air_humidity_id,precipitation_id,sun_hours_id,output
1451606400000,93,0.0,0.0,
1451610000000,95,0.0,0.0,
1451613600000,80,0.0,0.0,
1451617200000,80,0.0,0.0,
1451620800000,78,0.0,0.0,
1451624400000,79,0.0,0.0,
1451628000000,80,0.0,0.0,
1451631600000,78,0.0,0.0,
1451635200000,76,0.0,0.0,
1451638800000,74,0.0,0.7,
1451642400000,74,0.0,1.5,
1451646000000,76,0.0,1.7,
1451649600000,78,0.0,2.0,
1451653200000,74,0.0,0.7,
1451656800000,74,0.0,0.0,
1451660400000,74,0.0,0.0,
1451664000000,78,0.0,0.0,
1451667600000,75,0.0,0.0,
1451671200000,72,0.0,0.0,
1451674800000,72,0.0,0.0,
1451678400000,71,0.0,0.0,
1451682000000,71,0.0,0.0,
1451685600000,70,0.0,0.0,
1451689200000,72,0.0,0.0,
1451692800000,71,0.0,0.0,
1451696400000,71,0.0,0.0,
1451700000000,71,0.0,0.0,
1451703600000,72,0.0,0.0,
1451707200000,73,0.0,0.0,
1451710800000,74,0.0,0.0,
1451714400000,74,0.0,0.0,
1451718000000,75,0.0,0.0,
1451721600000,67,0.0,0.0,
1451725200000,67,0.0,0.6,
1451728800000,72,0.0,0.7,
1451732400000,78,0.0,0.2,
1451736000000,81,0.1,0.7,
1451739600000,85,0.1,0.1,
1451743200000,87,0.1,0.0,
1451746800000,85,0.1,0.0,
1451750400000,82,0.0,0.0,
1451754000000,76,0.0,0.0,
1451757600000,72,0.0,0.0,
1451761200000,76,0.0,0.0,
1451764800000,84,0.0,0.0,
1451768400000,88,0.2,0.0,
1451772000000,86,0.1,0.0,
1451775600000,85,0.1,0.0,
1451779200000,89,0.1,0.0,
1451782800000,90,0.0,0.0,
1451786400000,91,0.1,0.0,
1451790000000,91,0.0,0.0,
1451793600000,91,0.0,0.0,
1451797200000,91,0.0,0.0,
1451800800000,91,0.0,0.0,
1451804400000,92,0.0,0.0,
1451808000000,93,0.0,0.0,
1451811600000,93,0.0,1.0,
1451815200000,91,0.1,1.0,
1451818800000,93,0.0,1.1,
1451822400000,91,0.0,0.9,
1451826000000,90,0.0,1.4,
1451829600000,89,0.0,0.0,
1451833200000,86,0.0,0.0,
1451836800000,88,0.0,0.0,
1451840400000,87,0.0,0.0,
1451844000000,90,0.0,0.0,
1451847600000,87,0.0,0.0,
1451851200000,87,0.0,0.0,
1451854800000,87,0.0,0.0,
1451858400000,88,0.0,0.0,
1451862000000,88,0.0,0.0,
1451865600000,87,0.0,0.0,
1451869200000,87,0.0,0.0,
1451872800000,87,0.0,0.0,
1451876400000,88,0.0,0.0,
1451880000000,88,0.0,0.0,
1451883600000,88,0.0,0.0,
1451887200000,89,0.0,0.0,
1451890800000,90,0.0,0.0,
1451894400000,90,0.0,0.0,
1451898000000,91,0.0,1.0,
1451901600000,91,0.0,1.7,
1451905200000,87,0.0,2.3,
1451908800000,84,0.0,2.0,
1451912400000,88,0.0,1.3,
1451916000000,90,0.0,0.0,
1451919600000,90,0.0,0.0,
1451923200000,92,0.0,0.0,
1451926800000,90,0.1,0.0,
1451930400000,90,0.0,0.0,
1451934000000,92,0.0,0.0,
1451937600000,90,0.0,0.0,
1451941200000,89,0.0,0.0,
1451944800000,88,0.0,0.0,
1451948400000,91,0.0,0.0,
1451952000000,90,0.0,0.0,
1451955600000,91,0.0,0.0,
1451959200000,92,0.0,0.0,
1451962800000,92,0.0,0.0,
1451966400000,90,0.0,0.0,
1451970000000,88,0.0,0.0,
1451973600000,90,0.0,0.0,
1451977200000,91,0.0,0.0,
1451980800000,92,0.1,0.0,
1451984400000,92,0.1,1.0,
1451988000000,92,0.0,2.2,
1451991600000,90,0.0,3.9,
1451995200000,88,0.0,2.0,
1451998800000,83,0.1,0.5,
1452002400000,85,0.0,0.0,
1452006000000,87,0.0,0.0,
1452009600000,86,0.0,0.0,
1452013200000,90,0.0,0.0,
1452016800000,90,0.0,0.0,
1452020400000,89,0.0,0.0,
1452024000000,88,0.0,0.0,
1452027600000,89,0.0,0.0,
1452031200000,87,0.0,0.0,
1452034800000,88,0.0,0.0,
1452038400000,86,0.0,0.0,
1452042000000,88,0.0,0.0,
1452045600000,87,0.0,0.0,
1452049200000,87,0.0,0.0,
1452052800000,89,0.0,0.0,
1452056400000,89,0.0,0.0,
1452060000000,89,0.0,0.0,
1452063600000,88,0.0,0.0,
1452067200000,87,0.0,0.0,
1452070800000,85,0.0,0.9,
1452074400000,87,0.1,1.4,
1452078000000,87,0.0,4.4,
1452081600000,87,0.0,3.8,
1452085200000,86,0.0,2.0,
1452088800000,85,0.0,0.0,
1452092400000,83,0.0,0.0,
1452096000000,86,0.0,0.0,
1452099600000,83,0.0,0.0,
1452103200000,84,0.0,0.0,
1452106800000,81,0.0,0.0,
1452110400000,82,0.0,0.0,
1452114000000,81,0.0,0.0,
1452117600000,81,0.0,0.0,
1452121200000,82,0.0,0.0,
1452124800000,81,0.0,0.0,
1452128400000,81,0.0,0.0,
1452132000000,80,0.0,0.0,
1452135600000,81,0.0,0.0,
1452139200000,80,0.0,0.0,
1452142800000,80,0.0,0.0,
1452146400000,82,0.0,0.0,
1452150000000,82,0.0,0.0,
1452153600000,86,0.0,0.0,
1452157200000,88,0.1,0.8,
1452160800000,88,0.0,2.1,
1452164400000,89,0.0,2.7,
1452168000000,90,0.0,1.5,
1452171600000,90,0.1,0.6,
1452175200000,90,0.0,0.0,
1452178800000,90,0.0,0.0,
1452182400000,90,0.0,0.0,
1452186000000,90,0.0,0.0,
1452189600000,91,0.0,0.0,
1452193200000,91,0.1,0.0,
1452196800000,91,0.1,0.0,
1452200400000,91,0.1,0.0,
1452204000000,92,0.1,0.0,
1452207600000,93,0.0,0.0,
1452211200000,93,0.0,0.0,
1452214800000,92,0.0,0.0,
1452218400000,93,0.2,0.0,
1452222000000,93,0.0,0.0,
1452225600000,92,0.0,0.0,
1452229200000,91,0.0,0.0,
1452232800000,91,0.2,0.0,
1452236400000,93,0.3,0.0,
1452240000000,93,0.1,0.0,
1452243600000,94,0.2,0.5,
1452247200000,94,0.4,1.0,
1452250800000,94,0.2,1.8,
1452254400000,93,0.0,1.1,
1452258000000,93,0.1,1.1,
1452261600000,93,0.0,0.0,
1452265200000,93,0.1,0.0,
1452268800000,93,0.1,0.0,
1452272400000,92,0.1,0.0,
1452276000000,92,0.0,0.0,
1452279600000,92,0.0,0.0,
1452283200000,91,0.1,0.0,
1452286800000,91,0.0,0.0,
1452290400000,92,0.0,0.0,
1452294000000,92,0.1,0.0,
1452297600000,92,0.0,0.0,
1452301200000,91,0.1,0.0,
1452304800000,92,0.0,0.0,
1452308400000,91,0.0,0.0,
1452312000000,91,0.1,0.0,
1452315600000,91,0.1,0.0,
1452319200000,91,0.1,0.0,
1452322800000,91,0.2,0.0,
1452326400000,89,0.0,0.0,
1452330000000,89,0.0,1.0,
1452333600000,88,0.0,1.5,
1452337200000,89,0.0,1.8,
1452340800000,89,0.0,2.2,
1452344400000,89,0.1,0.9,
1452348000000,89,0.0,0.0,
1452351600000,89,0.1,0.0,
1452355200000,90,0.0,0.0,
1452358800000,90,0.1,0.0,
1452362400000,90,0.0,0.0,
1452366000000,90,0.0,0.0,
1452369600000,89,0.0,0.0,
1452373200000,89,0.0,0.0,
1452376800000,90,0.0,0.0,
1452380400000,89,0.0,0.0,
1452384000000,90,0.0,0.0,
1452387600000,91,0.1,0.0,
1452391200000,91,0.1,0.0,
1452394800000,92,0.2,0.0,
1452398400000,92,0.3,0.0,
1452402000000,91,0.2,0.0,
1452405600000,92,0.2,0.0,
1452409200000,94,0.1,0.0,
1452412800000,95,0.2,0.0,
1452416400000,95,0.1,0.4,
1452420000000,95,0.1,1.1,
1452423600000,94,0.0,1.5,
1452427200000,94,0.0,1.3,
1452430800000,92,0.0,0.7,
1452434400000,92,0.0,0.0,
1452438000000,93,0.0,0.0,
1452441600000,91,0.0,0.0,
