date,air_temperature_id,precipitation_id,sun_hours_id,output
1514786400000,1.2,0.0,0.0,
1514829600000,1.9,0.1,0.0,
1514872800000,2.4,0.0,0.0,
1514916000000,1.8,0.0,0.0,
1514959200000,0.9,0.0,0.0,
1515002400000,2.4,0.0,0.0,
1515045600000,1.9,0.0,0.0,
1515088800000,1.0,0.0,0.0,
1515132000000,0.4,0.0,0.0,
1515175200000,-1.1,0.0,0.0,
1515218400000,-5.0,0.0,0.0,
1515261600000,-4.8,0.0,0.0,
1515304800000,-7.5,0.0,0.0,
1515348000000,0.2,0.0,0.0,
1515391200000,-4.3,0.0,0.0,
1515434400000,-2.0,0.0,0.0,
1515477600000,-1.8,0.0,0.0,
1515520800000,-2.3,0.0,0.0,
1515564000000,-8.2,0.0,0.0,
1515607200000,-7.5,0.0,0.0,
1515650400000,-3.8,0.0,0.0,
1515693600000,-0.3,0.0,0.0,
1515736800000,-1.0,0.1,0.0,
1515780000000,-1.0,0.0,0.0,
1515823200000,-1.2,0.0,0.0,
1515866400000,-0.8,0.0,0.0,
1515909600000,-1.4,0.0,0.0,
1515952800000,-0.7,0.0,0.0,
1515996000000,-1.5,0.0,0.0,
1516039200000,-0.9,0.0,0.0,
1516082400000,0.7,0.0,0.0,
1516125600000,0.1,0.3,0.0,
1516168800000,-1.0,0.0,0.0,
1516212000000,-3.6,0.1,0.0,
1516255200000,-3.3,0.1,0.0,
1516298400000,-3.0,0.0,0.0,
1516341600000,-4.4,0.1,0.0,
1516384800000,-4.0,0.0,0.0,
1516428000000,-2.8,0.2,0.0,
1516471200000,-3.9,0.0,0.0,
1516514400000,-13.3,0.0,0.0,
1516557600000,-8.2,0.0,0.0,
1516600800000,-9.7,0.0,0.0,
1516644000000,-5.4,0.0,0.0,
1516687200000,-4.4,0.0,0.0,
1516730400000,-3.0,0.0,0.0,
1516773600000,0.7,0.1,0.0,
1516816800000,4.3,0.0,0.0,
1516860000000,5.5,0.0,0.0,
1516903200000,5.1,0.0,0.0,
1516946400000,3.4,0.0,0.0,
1516989600000,2.8,0.0,0.0,
1517032800000,-0.6,0.0,0.0,
1517076000000,-2.3,0.0,0.0,
1517119200000,0.5,0.1,0.0,
1517162400000,0.3,0.1,0.0,
1517205600000,-0.2,0.0,0.0,
1517248800000,0.2,0.1,0.0,
1517292000000,-2.6,0.0,0.0,
1517335200000,-1.1,0.0,0.0,
1517378400000,-0.5,0.0,0.0,
1517421600000,0.6,1.0,0.0,
1517464800000,0.4,0.0,0.0,
1517508000000,-0.1,0.0,0.0,
1517551200000,-3.2,0.0,0.0,
1517594400000,-6.3,0.1,0.0,
1517637600000,-6.5,0.0,0.0,
1517680800000,-4.0,0.0,0.0,
1517724000000,-4.6,0.0,0.0,
1517767200000,-7.2,0.0,0.0,
1517810400000,-12.2,0.0,0.0,
1517853600000,-10.7,0.0,0.0,
1517896800000,-9.2,0.0,0.0,
1517940000000,-6.6,0.0,0.0,
1517983200000,-8.6,0.0,0.0,
1518026400000,-2.8,0.0,0.0,
1518069600000,-4.2,0.0,0.0,
1518112800000,-0.3,0.0,0.0,
1518156000000,-3.6,0.0,0.0,
1518199200000,-5.7,0.0,0.0,
1518242400000,-5.3,0.0,0.0,
1518285600000,-0.5,0.0,0.0,
1518328800000,-2.7,0.0,0.0,
1518372000000,-1.9,0.0,0.0,
1518415200000,0.1,0.0,0.0,
1518458400000,2.0,0.0,0.0,
1518501600000,0.6,0.1,0.0,
1518544800000,-0.3,0.0,0.0,
1518588000000,-1.1,0.0,0.0,
1518631200000,0.5,0.0,0.0,
1518674400000,-3.5,0.0,0.0,
1518717600000,-0.6,0.0,0.0,
1518760800000,-0.6,0.0,0.0,
1518804000000,-0.4,0.0,0.0,
1518847200000,-5.5,0.0,0.0,
1518890400000,-2.2,0.0,0.0,
1518933600000,-2.0,0.0,0.0,
1518976800000,-1.1,0.0,0.0,
1519020000000,-2.7,0.0,0.0,0.0
1519063200000,-3.7,0.0,0.0,0.0
1519106400000,-5.5,0.0,0.0,
1519149600000,-7.7,0.0,0.0,
1519192800000,-6.8,0.1,0.0,
1519236000000,-8.7,0.0,0.0,
1519279200000,-8.1,0.0,0.0,
1519322400000,-3.3,0.0,0.0,
1519365600000,-3.9,0.1,0.0,
1519408800000,-5.6,0.0,0.0,
1519452000000,-10.3,0.0,0.0,
