date,air_humidity_id,cloud_coverage_id,air_pressure_id,sun_hours_id,output
1514786400000,97,100,990.1,0.0,
1514808000000,97,100,988.0,1.0,
1514829600000,97,100,985.1,0.0,
1514872800000,95,88,993.3,0.0,
1514894400000,89,88,995.9,1.2,
1514959200000,90,100,997.4,0.0,
1514980800000,88,88,994.2,1.3,
1515002400000,89,100,992.8,0.0,
1515045600000,90,100,991.6,0.0,
1515067200000,96,100,990.5,1.0,
1515088800000,96,100,988.9,0.0,
1515132000000,100,100,987.8,0.0,
1515153600000,100,100,989.4,1.1,
1515175200000,100,100,992.0,0.0,
1515218400000,83,75,998.5,0.0,
1515240000000,85,38,1002.6,2.6,
1515261600000,78,13,1009.0,0.0,
1515304800000,75,0,1021.6,0.0,
1515326400000,66,88,1021.5,2.5,
1515348000000,70,100,1019.5,0.0,
1515391200000,61,25,1028.5,0.0,
1515412800000,77,50,1029.9,3.8,
1515434400000,93,38,1030.8,0.0,
1515477600000,95,50,1030.0,0.0,
1515499200000,90,25,1029.8,3.5,
1515520800000,98,100,1028.4,0.0,
1515564000000,98,25,1025.6,0.0,
1515585600000,99,100,1025.0,1.5,
1515607200000,97,100,1024.4,0.0,
1515650400000,94,100,1025.4,0.0,
1515672000000,98,100,1028.2,1.4,
1515693600000,100,100,1030.9,0.0,
1515736800000,87,100,1036.6,0.0,
1515758400000,80,100,1039.2,1.3,
1515780000000,75,100,1040.7,0.0,
1515823200000,73,100,1041.0,0.0,
1515844800000,69,100,1040.7,1.6,
1515866400000,67,100,1039.9,0.0,
1515909600000,63,100,1036.3,0.0,
1515931200000,62,100,1034.6,1.4,
1515952800000,67,100,1032.6,0.0,
1515996000000,73,100,1023.0,0.0,
1516017600000,73,100,1017.9,1.7,
1516039200000,70,100,1011.2,0.0,
1516082400000,77,100,995.2,0.0,
1516104000000,81,100,990.9,1.4,
1516125600000,100,100,989.1,0.0,
1516168800000,96,100,988.5,0.0,
1516212000000,88,100,992.3,0.0,
1516255200000,92,75,994.9,0.0,
1516276800000,84,88,994.6,1.6,
1516298400000,86,88,996.0,0.0,
1516341600000,84,88,1001.2,0.0,
1516363200000,76,63,1004.4,3.0,
1516384800000,81,50,1006.6,0.0,
1516428000000,88,75,1008.0,0.0,
1516449600000,72,50,1008.3,4.5,
1516471200000,87,75,1009.2,0.0,
1516514400000,100,25,1013.2,0.0,
1516536000000,95,38,1015.5,4.4,
1516557600000,98,63,1016.1,0.0,
1516600800000,92,25,1013.6,0.0,
1516644000000,95,100,1016.4,0.0,
1516687200000,84,100,1019.8,0.0,
1516730400000,79,100,1015.8,0.0,
1516773600000,97,100,998.2,0.0,
1516795200000,90,100,1000.9,2.5,
1516816800000,77,100,995.6,0.0,
1516860000000,74,88,991.1,0.0,
1516881600000,69,50,996.0,5.5,
1516903200000,74,100,1001.3,0.0,
1516946400000,89,25,1009.8,0.0,
1516968000000,80,88,1012.6,3.6,
1516989600000,80,100,1014.7,0.0,
1517032800000,98,100,1017.4,0.0,
1517054400000,83,13,1020.0,7.2,
1517076000000,94,38,1020.4,0.0,
1517119200000,96,100,1004.0,0.0,
1517140800000,93,100,1000.9,2.3,
1517162400000,100,100,1000.5,0.0,
1517205600000,100,100,1005.4,0.0,
1517227200000,96,100,1001.5,2.7,
1517248800000,100,100,998.5,0.0,
1517292000000,100,100,1005.4,0.0,
1517335200000,90,100,1011.4,0.0,
1517378400000,92,100,1007.2,0.0,
1517400000000,91,100,1002.2,3.6,
1517421600000,92,100,995.1,0.0,
1517464800000,97,100,987.2,0.0,
1517486400000,86,88,989.5,3.7,
1517508000000,96,88,991.9,0.0,
1517551200000,86,100,1000.1,0.0,
1517572800000,90,100,1001.7,3.5,
1517594400000,95,100,1004.0,0.0,
1517637600000,89,100,1006.6,0.0,
1517659200000,87,100,1009.8,3.7,
1517680800000,88,100,1013.3,0.0,
1517724000000,80,100,1023.6,0.0,
1517745600000,72,50,1028.3,6.7,
1517767200000,88,100,1031.9,0.0,
1517810400000,91,88,1033.8,0.0,
1517832000000,71,13,1032.1,10.7,
1517853600000,80,0,1027.5,0.0,
1517896800000,88,100,1023.3,0.0,
1517918400000,78,100,1012.8,3.5,
1517940000000,86,100,1011.4,0.0,
1517983200000,91,50,1012.8,0.0,
1518004800000,81,100,1013.7,3.2,
1518026400000,84,100,1014.3,0.0,
1518069600000,97,100,1015.5,0.0,
1518091200000,82,88,1016.0,4.5,
1518112800000,86,100,1016.9,0.0,
1518156000000,94,38,1018.7,0.0,
1518177600000,53,25,1019.7,8.4,
1518199200000,66,13,1020.9,0.0,
1518242400000,93,25,1020.5,0.0,
1518264000000,93,88,1018.8,3.7,
1518285600000,77,88,1016.9,0.0,
