date,air_humidity_id,precipitation_id,sun_hours_id,output
1483228800000,95,,0.0,
1483232400000,97,0.0,0.0,
1483236000000,96,0.0,0.0,
1483239600000,96,0.0,0.0,
1483243200000,98,0.0,0.0,
1483246800000,100,0.0,0.0,
1483250400000,100,,0.0,
1483254000000,99,0.0,0.0,
1483257600000,97,0.0,0.0,
1483261200000,99,0.0,1.4,
1483264800000,90,0.0,2.8,
1483268400000,79,0.0,3.4,
1483272000000,77,,2.6,
1483275600000,79,0.0,0.7,
1483279200000,84,0.0,0.0,
1483282800000,86,0.0,0.0,
1483286400000,86,0.0,0.0,
1483290000000,90,0.0,0.0,
1483293600000,88,,0.0,
1483297200000,90,0.0,0.0,
1483300800000,96,0.0,0.0,
1483304400000,96,0.0,0.0,
1483308000000,92,0.0,0.0,
1483311600000,94,0.0,0.0,
1483315200000,94,,0.0,
1483318800000,92,0.0,0.0,
1483322400000,92,0.0,0.0,
1483326000000,94,0.0,0.0,
1483329600000,88,0.0,0.0,
1483333200000,83,0.0,0.0,
1483336800000,79,,0.0,
1483340400000,79,0.0,0.0,
1483344000000,80,,0.0,
1483347600000,78,0.0,1.3,
1483351200000,75,0.0,2.7,
1483354800000,74,0.0,2.6,
1483358400000,73,,2.0,
1483362000000,73,0.0,0.6,
1483365600000,74,0.0,0.0,
1483369200000,74,0.0,0.0,
1483372800000,71,0.0,0.0,
1483376400000,73,0.0,0.0,
1483380000000,76,,0.0,
1483383600000,77,0.0,0.0,
1483387200000,80,0.0,0.0,
1483390800000,80,0.0,0.0,
1483394400000,80,0.0,0.0,
1483398000000,81,0.0,0.0,
1483401600000,81,,0.0,
1483405200000,86,0.0,0.0,
1483408800000,85,0.0,0.0,
1483412400000,85,0.0,0.0,
1483416000000,88,0.0,0.0,
1483419600000,88,0.0,0.0,
1483423200000,91,,0.0,
1483426800000,91,0.0,0.0,
1483430400000,92,0.0,0.0,
1483434000000,90,0.0,0.8,
1483437600000,91,0.0,2.7,
1483441200000,87,0.0,3.7,
1483444800000,83,,2.9,
1483448400000,82,0.0,1.0,
1483452000000,82,0.0,0.0,
1483455600000,87,,0.0,
1483459200000,87,0.0,0.0,
1483462800000,96,0.6,0.0,
1483466400000,97,0.8,0.0,
1483470000000,97,1.0,0.0,
1483473600000,97,1.0,0.0,
1483477200000,96,0.6,0.0,
1483480800000,96,0.7,0.0,
1483484400000,96,0.8,0.0,
1483488000000,94,0.5,0.0,
1483491600000,92,0.2,0.0,
1483495200000,88,0.2,0.0,
1483498800000,86,0.0,0.0,
1483502400000,92,0.3,0.0,
1483506000000,94,0.1,0.0,
1483509600000,85,0.1,0.0,
1483513200000,86,0.0,0.0,
1483516800000,84,0.0,0.0,
1483520400000,81,0.0,0.7,
1483524000000,81,0.0,1.3,
1483527600000,78,0.0,2.3,
1483531200000,77,,1.6,
1483534800000,81,0.0,0.6,
1483538400000,75,0.0,0.0,
1483542000000,81,0.0,0.0,
1483545600000,84,0.0,0.0,
1483549200000,82,0.0,0.0,
1483552800000,75,,0.0,
1483556400000,75,0.0,0.0,
1483560000000,73,0.0,0.0,
1483563600000,72,0.0,0.0,
1483567200000,71,0.0,0.0,
1483570800000,83,0.0,0.0,
1483574400000,85,,0.0,
1483578000000,83,0.0,0.0,
1483581600000,81,0.0,0.0,
1483585200000,83,0.0,0.0,
1483588800000,87,0.0,0.0,
1483592400000,83,0.0,0.0,
1483596000000,81,,0.0,
1483599600000,79,0.0,0.0,
1483603200000,83,0.0,0.1,
1483606800000,87,0.0,1.9,
1483610400000,85,0.0,3.5,
1483614000000,85,0.0,3.9,
1483617600000,84,,3.0,
1483621200000,84,0.0,1.3,
1483624800000,85,0.0,0.1,
1483628400000,87,0.0,0.0,
1483632000000,86,0.0,0.0,
1483635600000,86,0.0,0.0,
1483639200000,83,,0.0,
1483642800000,86,0.0,0.0,
1483646400000,87,0.0,0.0,
1483650000000,84,0.0,0.0,
1483653600000,84,0.0,0.0,
1483657200000,83,0.0,0.0,
1483660800000,83,,0.0,
1483664400000,83,0.0,0.0,
1483668000000,83,0.0,0.0,
1483671600000,83,0.0,0.0,
1483675200000,82,0.0,0.0,
1483678800000,84,0.0,0.0,
1483682400000,84,,0.0,
1483686000000,84,0.0,0.0,
1483689600000,85,0.0,0.0,
1483693200000,86,0.0,0.6,
1483696800000,88,0.0,3.8,
1483700400000,89,0.0,4.4,
1483704000000,92,0.1,2.0,
1483707600000,88,0.0,0.6,
1483711200000,86,0.0,0.0,
1483714800000,88,0.0,0.0,
1483718400000,85,0.0,0.0,
1483722000000,84,0.0,0.0,
1483725600000,84,,0.0,
1483729200000,81,0.0,0.0,
1483732800000,81,0.0,0.0,
1483736400000,83,,0.0,
1483740000000,83,0.0,0.0,
1483743600000,88,0.2,0.0,
1483747200000,91,,0.0,
1483750800000,88,0.0,0.0,
1483754400000,91,0.6,0.0,
1483758000000,93,0.7,0.0,
1483761600000,94,0.9,0.0,
1483765200000,94,1.0,0.0,
1483768800000,94,0.6,0.0,
1483772400000,92,0.7,0.0,
1483776000000,93,0.2,0.0,
1483779600000,93,0.3,1.1,
1483783200000,94,0.0,1.9,
1483786800000,96,0.0,4.3,
1483790400000,96,,3.5,
1483794000000,96,0.0,1.5,
1483797600000,99,0.0,0.1,
1483801200000,97,0.0,0.1,
1483804800000,95,0.0,0.0,
1483808400000,93,0.0,0.0,
1483812000000,92,,0.1,
1483815600000,92,0.0,0.0,
1483819200000,92,0.0,0.1,
1483822800000,89,0.0,0.1,
1483826400000,89,0.0,0.1,
1483830000000,92,0.0,0.1,
1483833600000,90,,0.1,
1483837200000,90,0.0,0.0,
1483840800000,90,0.0,0.1,
1483844400000,89,0.0,0.1,
1483848000000,90,0.0,0.0,
1483851600000,90,0.0,0.0,
1483855200000,92,,0.0,
1483858800000,92,0.0,0.0,
1483862400000,92,0.0,0.0,
1483866000000,95,0.0,1.3,
1483869600000,96,0.0,3.7,
1483873200000,96,0.0,4.2,
1483876800000,96,,0.8,
1483880400000,96,0.0,1.7,
1483884000000,96,0.0,0.0,
1483887600000,97,0.0,0.0,
1483891200000,99,0.0,0.0,
1483894800000,99,0.0,0.0,
1483898400000,99,,0.0,
1483902000000,99,0.0,0.0,
1483905600000,99,0.0,0.0,
1483909200000,99,0.0,0.0,
1483912800000,99,0.0,0.0,
