,date,real_output,StandardScaler_LR,MinMaxScaler_LR,MaxAbsScaler_LR,RobustScaler_LR,QuantileTransformer-Normal_LR,QuantileTransformer-Uniform_LR,PowerTransformer-Yeo-Johnson_LR,Normalizer_LR,StandardScaler_RFR,MinMaxScaler_RFR,MaxAbsScaler_RFR,RobustScaler_RFR,QuantileTransformer-Normal_RFR,QuantileTransformer-Uniform_RFR,PowerTransformer-Yeo-Johnson_RFR,Normalizer_RFR
30382,1562709600000,0.01,0.0,0.0,0.0,0.0,1.7315673742821776,1.3966754607581435,0.32516193611945743,0.0,0.009800000000000008,0.009800000000000008,0.009800000000000008,0.009800000000000008,0.009800000000000008,0.009800000000000008,0.009000000000000006,1.2982961795539325
30383,1562713200000,0.0,0.09067079654305421,0.09067079654305643,0.09067079654305488,0.09067079654305428,1.656162009512958,1.3337887706605374,0.22142758771248494,0.0609535782989874,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999999e-05,1.2982961795539325
30384,1562716800000,0.0,0.20026505496406766,0.20026505496406927,0.20026505496406966,0.20026505496406846,0.7960918640424239,0.6453025046456282,0.0,0.16435760429231516,0.0,0.0,0.0,0.0,0.0,0.0,1.3440659422525531e-06,1.2982961795539325
30385,1562720400000,0.01,0.24722627379229833,0.24722627379230022,0.24722627379230033,0.24722627379229947,0.7257987952075533,0.32942103834603254,0.0,0.2094620246105614,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.009900000000000008,1.2982961795539325
30386,1562724000000,0.01,0.3327443095924073,0.332744309592409,0.3327443095924094,0.3327443095924085,0.7613393282510135,0.503698868661508,0.0,0.29612146534068673,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,1.2982961795539325
30387,1562727600000,0.12,0.3590999040531513,0.35909990405315284,0.3590999040531546,0.35909990405315295,1.7163566063198958,1.0992992444750893,0.2876148173844424,0.31628497258056143,0.11440000000000007,0.11440000000000007,0.11340000000000007,0.11340000000000007,0.10169999999999998,0.10079999999999996,0.1188,1.2982961795539325
30388,1562731200000,0.54,0.5652901485762404,0.5652901485762424,0.565290148576242,0.5652901485762419,2.2149388615714,1.8354920819795746,1.2019925353868512,0.5192949467776224,0.5957999999999996,0.6040999999999996,0.6110999999999995,0.5846999999999996,0.6495999999999996,0.6495999999999996,0.6253999999999995,1.2982961795539325
30389,1562734800000,1.37,1.1362214501515813,1.1362214501515826,1.1362214501515808,1.136221450151582,3.1686126062433364,3.137068064174573,2.6307900675016223,1.0860015437569772,1.3741000000000003,1.3741000000000003,1.3702000000000003,1.3702000000000003,1.2744999999999995,1.2744999999999995,1.2816999999999998,1.2982961795539325
30390,1562738400000,4.17,2.027437852234931,2.0274378522349323,2.0274378522349306,2.027437852234931,4.108082630802205,3.695745970174738,3.5236479576622974,1.9698279549858184,2.6802000000000015,2.686900000000002,2.692300000000001,2.6959000000000004,2.730600000000001,2.7286000000000006,2.717200000000001,1.2982961795539325
30391,1562742000000,5.11,4.772308493194001,4.772308493194,4.772308493193999,4.772308493193999,3.6898394129393326,4.090285896418351,4.4288074725346265,4.7029089109403515,5.220600000000003,5.223700000000004,5.210100000000001,5.210100000000001,5.163200000000001,5.163200000000001,4.7996,1.2982961795539325
