Dataset,Regressor_Name,CV_R2_mean
734012530000022676,StandardScaler_LR,0.9204071545662169
734012530000022676,MinMaxScaler_LR,0.9204071545662169
734012530000022676,MaxAbsScaler_LR,0.9204071545662169
734012530000022676,RobustScaler_LR,0.9204071545662169
734012530000022676,QuantileTransformer-Normal_LR,0.62644646916226
734012530000022676,QuantileTransformer-Uniform_LR,0.6658851240829321
734012530000022676,PowerTransformer-Yeo-Johnson_LR,0.741209357366488
734012530000022676,Normalizer_LR,0.9198987567951008
,,
734012530000022676,StandardScaler_RFR,0.9380040796640474
734012530000022676,MinMaxScaler_RFR,0.9379549381758991
734012530000022676,MaxAbsScaler_RFR,0.9380612221206706
734012530000022676,RobustScaler_RFR,0.938045766771179
734012530000022676,QuantileTransformer-Normal_RFR,0.9379889910669725
734012530000022676,QuantileTransformer-Uniform_RFR,0.9379626818428612
734012530000022676,PowerTransformer-Yeo-Johnson_RFR,0.9386128158314457
734012530000022676,Normalizer_RFR,-0.00117231227702701
